id;order_item_id;product_id;quantity
b8613b8b-142e-4606-b5d7-76e3ba0f1d8d;1a8d2d8a-05e9-4dcb-9852-27df22d72390;b7bfce0a-5152-4c69-a0b6-a6adaf280f1c;72125
6b560898-d716-43ab-b29b-f97c4995b980;ba6116fe-f3e1-445e-9989-2498f8e86cc3;ba1923df-05ce-4cfe-908a-1128d37afe8b;60833
87c34aec-9ba0-4697-b9a6-5d935ff6ecbf;e4156c7d-382e-49ae-b886-06e8858f7629;c7f7f4b5-207e-480d-bc95-410534bc1b91;2942
189efadd-ee9a-4a0d-9566-b3596b7ce505;aa62a11e-1322-4dc7-b223-be2551744d64;2b45e3f4-bc0a-4afa-95b9-1b0eda85a42b;96841
5021695f-fd1f-4a7a-912b-ff65bd4e7cfb;d0cd1217-a611-4118-8a36-7abd4482f50e;bd648d99-756f-4931-b645-f84cd88ba7c4;36065
81e87b2d-ade5-4e5d-b03d-e370c061af40;a02160e0-f5e9-4d07-848e-ddd28082a80d;e14e775c-8c0b-4a05-b875-c8283b78344b;90950
29a9391e-1fcd-4dbf-a482-711797a3dfb7;80312f44-aca1-43b5-b00d-cb465df4a029;cc779a8f-344b-48a8-8a90-3a42a3659ae2;29258
655d0029-7652-438b-86b5-0a14d57329bc;2b6a539b-a6c0-425e-a277-1e8f27f71d3e;02f5c424-59ea-404c-b27e-20c7dccf61c6;96531
44f6f1e9-ee00-4d21-93c2-05ed2c453180;cc764586-f132-4eda-9d88-bbaec7315174;c4bc8658-f9f9-44f2-ad3b-34755c0a7808;50420
f56b3320-e62b-4ef4-b948-258588a62351;1eff2855-3e5f-47a1-9222-bbc2bfd8e9c5;2d38211b-f36d-481e-884a-0c857bc0ebc9;78092
