id;user_id;order_id;message;type;is_read;created_at;updated_at
61257d30-cc2b-44db-8d22-7cdd5d550f19;ace2aac9-aa6e-460d-8af6-174f4ff274d4;1256ba6d-40e2-4eda-9707-d5b6a07866d4;schemas;Specialist 1080p Spur;false;2023-04-26T07:49:41;2023-04-25T12:28:15
f2025f04-b7c5-4cf4-987c-0ca7a890688b;1c262aa7-ee95-4e8a-b816-bec6bea0418b;d9a90420-9c60-4c3b-8e2f-70e3aa386d4c;deposit Incredible;Clothing;true;2023-04-25T09:11:01;2023-04-26T06:15:46
f6b2e1b6-53b3-41e2-a9d6-b2e4c37a0f47;b99691e6-4a33-4b7a-a332-68a0a4a6b01d;82195f38-ebaf-4ece-bb61-ade7acca3ecd;Account bandwidth Germany;matrix;false;2023-04-25T20:38:15;2023-04-26T00:05:06
117d78f7-6b90-4c19-bb90-1e81cc778012;143a7c5a-0da4-4855-b435-34a72f78e440;959de6bf-0734-4af0-9711-f4febbdfc425;Applications AI connecting;B2C;true;2023-04-26T04:22:58;2023-04-25T23:01:06
bab0898c-5337-4f43-87c4-9b892c7952da;3d30b396-c060-47b0-95d8-0743e9507a04;2b943e24-eedc-4210-95cd-62666cc848c2;sensor frame cross-platform;24/365 Brazil 1080p;true;2023-04-25T10:24:56;2023-04-26T07:09:40
c30b2bcc-3b35-49df-8b3c-b7a5ec3e3cde;d62cf3de-5bfd-43f1-8108-efa449bf2596;0e218327-619c-4f37-8e8a-2033d828ee39;Account Cambridgeshire;RSS;true;2023-04-25T17:41:21;2023-04-25T22:20:19
6a7e49a2-fd4a-456a-be97-236e79d37c42;0b38e9fe-4e1e-48e9-94cf-4c3fb95dcd7a;6e7911e8-b4fe-4b3a-9168-66f984dbb00c;Licensed input;interfaces Peso Kroon;true;2023-04-25T19:47:28;2023-04-25T16:47:37
43375f27-5328-4ee5-8dee-c6c3af83e738;d37284a6-6a52-4840-8948-d3c169b3d20e;934e4072-20a1-4c39-8b6a-f496da9a05cf;Steel;Tools;false;2023-04-25T18:36:06;2023-04-25T19:33:33
eba4568b-0e44-4870-b233-f36b6f1cb34a;f24c4645-ac24-4906-9dc0-ae9da9476335;6f316cf3-ecf1-469d-825a-750e7a986e65;Sausages Computers;Lesotho XML;false;2023-04-25T19:47:46;2023-04-26T01:52:39
d8d21222-36ee-4fa2-9622-cf41a32b3144;f81c4605-23f7-41bf-9f12-09f39ccb241a;6448f262-5afa-4f86-a54b-c01dc89e46a1;olive Gorgeous Circle;Account haptic;false;2023-04-26T04:16:38;2023-04-25T11:27:02
