id;order_id;product_id;quantity;created_at;updated_at
1568b3d9-a517-44d2-a260-82951cd6bc82;4cf3b013-da5e-4dee-8840-69ecf81c05aa;85569425-7309-4f47-8972-10e2ab50e3df;23187;2023-04-25T10:15:05;2023-04-25T22:07:55
fd64bead-9ebb-43fc-a84c-c75a4b2519f0;3d694655-16cb-4ec8-a0d6-2e148fbe9d89;777b1c88-cc77-4d6f-89b0-a494c909f840;21030;2023-04-25T09:15:20;2023-04-26T03:58:42
27c2a685-0ea4-4eb8-9924-28ec5bfc2727;fb3a2f34-144d-48e6-b74b-6f49e8a4dafe;98e1e7eb-5b74-439f-9bbc-3be0fd3e3120;26462;2023-04-25T17:47:42;2023-04-26T01:24:47
2c6f3885-821e-4395-9462-986f0bc80c98;3dbccc0e-e3c0-4e09-aadf-234b88d90e04;f5beeec9-96d8-403c-a2db-d265cc9b0072;7161;2023-04-26T02:01:29;2023-04-26T06:42:32
c8df41c1-e1a8-4d32-b798-e9e93d6474ad;c4c82f2d-329d-416c-81c1-d57cdaa4dfcd;0138f5bc-daf9-41bc-9599-0feb73d706d5;82931;2023-04-26T04:38:33;2023-04-26T07:00:03
f92e273f-7b07-47b9-a06a-fcbb82897a6d;3d34cf04-9f82-40ee-a78a-bc63a408156c;d5f559fd-85a1-45e0-9e4c-984bceb8d9fd;87328;2023-04-25T21:22:01;2023-04-25T12:53:07
b87f0cde-c9d5-4811-9d8f-32dc2c10b6c7;1891dccb-71d4-416c-8423-7ba76c52136a;f34ce562-4ee8-4f20-9dd5-e0c47f1556b4;22772;2023-04-25T14:17:06;2023-04-25T19:18:00
e738c689-93e9-4650-8f51-878fce84ee32;1229f60f-aba7-4883-b78c-a5572cb50b35;49db748d-b97f-44ab-b857-060767445cc5;98607;2023-04-25T09:50:56;2023-04-25T10:02:06
51cfc446-9b03-4857-bf19-da3cc02319ff;40aae778-eb6b-4a4a-b25a-24b829983bcf;79efea33-5651-4624-b454-7f027ec75f57;37173;2023-04-25T17:07:09;2023-04-26T03:22:18
abe98529-ee84-430b-86a8-a0fbaeca0f91;4a073d8f-1202-4c7b-8f2c-71ffc5e4767c;ef8c392b-2eb9-4243-b2e5-4ec5995e3638;48040;2023-04-25T18:48:28;2023-04-25T23:07:44
