id;user_id;shipping_id;payment_id;created_at;updated_at
75bbbeca-5faa-49a0-b384-ec78767c7f9c;42e95a0d-7960-4669-abb9-78d726b2279f;e84a10ce-26d3-4a4f-8b9d-197474374714;e50f17a5-ceb0-4ade-87d7-26279fbcad80;2023-04-26T04:16:39;2023-04-25T11:27:12
069c8f9d-4527-44aa-beda-ced11270f4bf;5e6249f1-d27d-42c1-9f42-125f75c430b8;494e23c0-ffd3-4abe-a9d3-d1d8fda8981c;e6655de9-4403-4701-bf6a-8ac490de4e6c;2023-04-25T16:55:24;2023-04-26T04:39:10
26328a48-a93e-441f-8780-8cf3a58cf3db;954cbc87-4d9f-426f-820f-b533f2be81e6;de2a98ab-4992-441d-86c5-7abe1080742b;a4276a8e-810d-4119-be0c-aca9933db8b6;2023-04-25T11:52:14;2023-04-25T22:19:25
c6112952-b6d6-4bd1-a81c-e98aea0d1c57;92c50d1f-b7d4-4e5b-80a5-9091bf658037;456f498a-718b-49b9-8e0e-2095e2cbbff1;414a407e-4f25-49e5-9615-9ab52a88e26a;2023-04-25T16:33:11;2023-04-25T09:09:34
a07d37b3-38d6-4a8a-9931-9c55f0efcf7e;c1d443f3-e84f-4a9d-93bb-c8411f37a5d9;259f9a4a-7c2b-4b17-881b-b90ed149f835;238f1bcd-3ae2-44e0-b5cf-3baf312f10eb;2023-04-26T06:06:31;2023-04-25T11:34:36
ff164032-2546-4775-a80c-43713d1131ff;bf7112dc-d33a-41ae-8f77-b1fc8961b4c0;934535ba-0bf8-4afe-9499-f58456614ba3;69f05d7b-e906-4900-9a5f-fbcaa4feb124;2023-04-25T22:27:44;2023-04-25T10:46:59
83fd94bc-9d99-4f90-b9aa-b6c060cc66ea;d5d7dbbb-0836-4a4c-a4dc-b0804a74cd93;7065d4e4-01bf-4d6d-89ee-9d434ed5fe33;efd4bca0-9bb6-45b1-8a3b-76c67ae36544;2023-04-26T06:02:33;2023-04-26T05:01:17
cf731c48-ac8b-42ff-b6bc-a237a7e5bbf0;d30cd85f-1518-4298-afda-4ed92bcb0895;092a2b05-508a-449a-ba64-ed85bb20d8bf;ae3eb63c-e089-441a-89a8-415dad4c6388;2023-04-25T15:26:02;2023-04-26T04:02:17
ae92d5aa-29ac-43d9-8625-0ccaa1f87bec;e751e313-9642-4ab1-b22f-54f71f470f9a;f18447dd-4c44-47d9-a79d-fae6c33beca3;5872ec82-4acc-4e8d-9215-dfa9726237fb;2023-04-25T10:31:44;2023-04-25T16:45:32
6096558c-f61b-40cc-8899-d168c3032d40;f5f7d559-6f06-4175-a9ad-ba5e2b3682aa;60b2339f-1792-47dd-93de-99a7f02067f2;70e74ad8-00d5-4867-922d-4905ac67f943;2023-04-26T01:27:59;2023-04-25T09:05:57
