id;cart_id;product_id;quantity
fabffcdd-ad40-4f98-a132-bd1bac63acd4;8aafe1de-ae5b-4dd9-a836-4eadc7091e81;03971016-795c-444c-afeb-04216513e5f9;87775
f5cac595-fa2a-4da9-afee-c08fdbb94759;118b19fe-1fd2-4c26-8dc1-5a6b0d6a0b2f;0535e7c2-0b4c-4ed5-a488-7f612e38de72;63829
b0711173-18f4-4819-9b6a-dd2eb281aed8;f16a046a-5dd8-4b58-851a-f3e8c0f913aa;01f9bf9c-a8dc-4b26-a50c-30974fc5dccd;71625
320867cd-41cb-455c-b34c-612c7370e5f5;c58c374b-9a27-4df3-b2db-e6e7c4c4864a;e78e9b26-79f8-413f-b7cb-153ee2c31272;23308
42a01835-305c-4f88-86ec-9ccbb12cd4b9;aa7935a3-e1b9-4db3-8d3d-f13e13d72c83;cba679dc-d482-4879-85f3-9193f01bb909;62362
99d95796-14d1-4d1d-a98a-2d959df21fe3;df592706-f2c4-41d7-be3f-3165d6b39951;7f45dc43-9294-49a6-9542-fd0b5220aa6f;45847
0210f6a3-9ed0-4953-9ff1-af5d761543eb;f312609b-c3c6-46ea-8fa4-9028de570dfa;ad72d431-c9f7-440f-9648-0473b8374330;95770
5ffce821-dcfa-432e-9582-bb6e1d67a23d;1064b03f-e698-445b-b72b-cd66d1c651e6;a1d4a4dc-b521-4d2e-84d2-efc21f2deeed;97273
5879dd0f-ae01-45b2-be3c-6b1ed6b4d097;1ccd895c-a5a8-4745-a1a6-4c776dbdc7de;9a38c9aa-5335-449a-a687-992ae3c88766;64788
9f2c3bdd-ccef-4cc3-a0e1-00c5e30a551d;a8fb3382-8a4c-4f6d-834c-83775a21d320;0a02542a-957c-44b0-82f6-31849aa42fff;49648
